State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage
Montana,MT,Powell,30077.0,"Powell County, Montana",2348,8.05,39.95,48.0,52.0
Montana,MT,Prairie,30079.0,"Prairie County, Montana",520,27.5,30.58,58.08,41.92
Montana,MT,Ravalli,30081.0,"Ravalli County, Montana",18779,9.41,29.74,39.14,60.86
Montana,MT,Richland,30083.0,"Richland County, Montana",4500,10.22,30.6,40.82,59.18
Montana,MT,Roosevelt,30085.0,"Roosevelt County, Montana",2988,27.84,36.78,64.63,35.37
Montana,MT,Rosebud,30087.0,"Rosebud County, Montana",3069,19.06,32.78,51.84,48.16
Montana,MT,Sanders,30089.0,"Sanders County, Montana",5453,13.68,33.76,47.44,52.56
Montana,MT,Sheridan,30091.0,"Sheridan County, Montana",1470,9.46,35.65,45.1,54.9
Montana,MT,Silver Bow,30093.0,"Silver Bow County, Montana",15347,17.16,26.9,44.07,55.93
Montana,MT,Stillwater,30095.0,"Stillwater County, Montana",3869,8.35,24.74,33.08,66.92
Montana,MT,Sweet Grass,30097.0,"Sweet Grass County, Montana",1497,9.08,30.33,39.41,60.59
Montana,MT,Teton,30099.0,"Teton County, Montana",2452,9.95,30.06,40.01,59.99
Montana,MT,Toole,30101.0,"Toole County, Montana",1823,11.14,40.43,51.56,48.44
Montana,MT,Treasure,30103.0,"Treasure County, Montana",382,11.52,20.42,31.94,68.06
Montana,MT,Valley,30105.0,"Valley County, Montana",2958,11.46,32.29,43.75,56.25
Montana,MT,Wheatland,30107.0,"Wheatland County, Montana",865,26.94,25.9,52.83,47.17
Montana,MT,Wibaux,30109.0,"Wibaux County, Montana",468,13.03,33.55,46.58,53.42
Montana,MT,Yellowstone,30111.0,"Yellowstone County, Montana",72668,10.51,25.13,35.64,64.36
North Dakota,ND,Adams,38001.0,"Adams County, North Dakota",1019,16.09,28.66,44.75,55.25
North Dakota,ND,Barnes,38003.0,"Barnes County, North Dakota",4852,11.62,24.07,35.7,64.3
North Dakota,ND,Benson,38005.0,"Benson County, North Dakota",1922,22.63,22.42,45.06,54.94
North Dakota,ND,Billings,38007.0,"Billings County, North Dakota",372,12.9,17.2,30.11,69.89
North Dakota,ND,Bottineau,38009.0,"Bottineau County, North Dakota",2695,8.2,20.96,29.17,70.83
North Dakota,ND,Bowman,38011.0,"Bowman County, North Dakota",1237,9.05,21.91,30.96,69.04
North Dakota,ND,Burke,38013.0,"Burke County, North Dakota",931,6.77,15.15,21.91,78.09
North Dakota,ND,Burleigh,38015.0,"Burleigh County, North Dakota",42486,10.92,20.04,30.96,69.04
North Dakota,ND,Cass,38017.0,"Cass County, North Dakota",84603,9.88,22.0,31.88,68.12
North Dakota,ND,Cavalier,38019.0,"Cavalier County, North Dakota",1539,9.68,24.43,34.11,65.89
North Dakota,ND,Dickey,38021.0,"Dickey County, North Dakota",1953,14.34,25.81,40.14,59.86
North Dakota,ND,Divide,38023.0,"Divide County, North Dakota",935,7.91,24.06,31.98,68.02
North Dakota,ND,Dunn,38025.0,"Dunn County, North Dakota",1513,5.62,24.79,30.4,69.6
North Dakota,ND,Eddy,38027.0,"Eddy County, North Dakota",1142,11.73,30.91,42.64,57.36
